p_id,Block,Rotation,Emphasis,initerrors_mean,initerrorsdegrees_mean
26,5,Gradual,Speed,0.2782016552689073,15.93978070046185
26,6,Gradual,Speed,0.28480756147282316,16.318271245805516
26,7,Gradual,Speed,0.5002779082042309,28.663812723735653
26,8,Gradual,Speed,0.32630998095924985,18.69618472195927
26,9,Gradual,Speed,0.3235539153326707,18.538273793495208
26,10,Gradual,Speed,0.23155966613174192,13.26739157480724
26,11,Gradual,Speed,-0.361363219362526,-20.704587340732893
27,0,Gradual,Accuracy,0.08965136795089623,5.136645011160766
27,1,Gradual,Accuracy,0.09745652845041762,5.583847766205563
27,2,Gradual,Accuracy,0.150376202412342,8.615921737432187
27,3,Gradual,Accuracy,0.1415112587427358,8.107997879542532
27,4,Gradual,Accuracy,0.15291200836261545,8.761212716047016
27,5,Gradual,Accuracy,0.15747249043773287,9.022509091496307
27,6,Gradual,Accuracy,0.1697325474234653,9.724958613368656
27,7,Gradual,Accuracy,0.14464481328556578,8.287537329720736
27,8,Gradual,Accuracy,0.26173283766156136,14.99618695799019
27,9,Gradual,Accuracy,0.4618727516256518,26.46335934024398
27,10,Gradual,Accuracy,0.24036938895975365,13.77215151153237
27,11,Gradual,Accuracy,-0.5186526026464372,-29.71660516511656
28,0,Sudden,Speed,0.11743989457172763,6.72881030542134
28,1,Sudden,Speed,1.2281284862576238,70.36657896235238
28,2,Sudden,Speed,1.1221845548524831,64.2964388278143
28,3,Sudden,Speed,0.423721268723079,24.27744038776104
28,4,Sudden,Speed,0.19510504872412474,11.178695853586634
28,5,Sudden,Speed,0.21266722608833993,12.184934495616353
28,6,Sudden,Speed,0.3711413614786035,21.264833615463253
28,7,Sudden,Speed,0.23927023869704156,13.70917484042827
28,8,Sudden,Speed,0.6731461124723717,38.56843124030552
28,9,Sudden,Speed,0.5097754453303245,29.207981516829623
28,10,Sudden,Speed,0.14577030051640671,8.35202299794379
28,11,Sudden,Speed,-0.1631891194407906,-9.350047806413594
29,0,Sudden,Accuracy,0.10574523756753057,6.058755816227742
29,1,Sudden,Accuracy,1.4824025908902494,84.93541199726971
29,2,Sudden,Accuracy,1.5100389391475724,86.51885811356804
29,3,Sudden,Accuracy,1.5828350307356622,90.68976692661339
29,4,Sudden,Accuracy,1.1442551036909856,65.56098812779786
29,5,Sudden,Accuracy,1.0382054626444348,59.48479127695316
29,6,Sudden,Accuracy,1.071998071546839,61.420965145797126
29,7,Sudden,Accuracy,0.9710864802889246,55.63915686276939
29,8,Sudden,Accuracy,0.8743321663292503,50.09554302319634
29,9,Sudden,Accuracy,0.9831214566054111,56.32871021224396
29,10,Sudden,Accuracy,0.5827926757659295,33.39156065252397
29,11,Sudden,Accuracy,-0.19128308482134154,-10.95971345250581
30,0,Gradual,Speed,0.11119640238728495,6.371084553829859
30,1,Gradual,Speed,0.11912275650664145,6.825231191795122
30,2,Gradual,Speed,0.11265866680550377,6.45486613352595
30,3,Gradual,Speed,0.15684650398358507,8.986642709641277
30,4,Gradual,Speed,0.18540984383774897,10.623201532082689
30,5,Gradual,Speed,0.2036376032134363,11.66757521428959
30,6,Gradual,Speed,0.40764505054742883,23.35634093576478
30,7,Gradual,Speed,0.4949752893891709,28.359995045266054
30,8,Gradual,Speed,0.632082238096289,36.21564454810058
30,9,Gradual,Speed,0.8807385436648753,50.46260140649592
30,10,Gradual,Speed,0.7378427182936309,42.27527370268518
30,11,Gradual,Speed,-0.3074986461661266,-17.61837463130571
31,0,Gradual,Accuracy,0.09414154895078848,5.393913431704423
31,1,Gradual,Accuracy,0.10515071611346867,6.024692246080013
31,2,Gradual,Accuracy,0.10126450797766773,5.8020289215892165
31,3,Gradual,Accuracy,0.1514743788559576,8.678842612812046
31,4,Gradual,Accuracy,0.14881377374381094,8.526401168935111
31,5,Gradual,Accuracy,0.21688040748085283,12.426332007730393
31,6,Gradual,Accuracy,0.3159715485538352,18.103836178347727
